Claim_ID,Policy_ID,Accident_Date,FNOL_Date,Claim_Type,Claim_Complexity,Fraud_Flag,Litigation_Flag,Estimated_Claim_Amount,Ultimate_Claim_Amount,Severity_Band,Settlement_Date,Status,Days_To_FNOL,Days_To_Settlement,Estimated_Claim_Amount_winsor,Estimated_Claim_Amount_log1p,Ultimate_Claim_Amount_winsor,Ultimate_Claim_Amount_log1p,Customer_ID,Age_of_Driver,Gender,Occupation,Region,Annual_Mileage,Driving_Experience_Years,Vehicle_Type,Vehicle_Age,Credit_Score_Band,tp_count,has_third_party,TP_Injury_Severity_code_mean,TP_Injury_Severity_code_max
CLM30057,POL11511,2021-04-09,2021-04-13,Fire,Low,False,False,14073,9855.0,Minor,2021-05-31,settled,4,48.0,14073.0,9.552084402526495,9855.0,9.1958356857733,CUST21511,56,Female,Unemployed,Birmingham,10435,37,SUV,17,Good,1,1,1.0,1.0
CLM30058,POL11854,2021-12-17,2021-12-23,Theft,Low,False,False,6428,5137.0,Minor,2022-03-09,settled,6,76.0,6428.0,8.768574284141687,5137.0,8.544419177669829,CUST21854,21,Male,Unemployed,Bristol,18134,0,Sedan,18,Excellent,0,0,,
CLM30059,POL12639,2019-08-11,2019-08-11,Vandalism,Low,False,False,2570,1653.0,Moderate,2019-11-15,settled,0,96.0,2570.0,7.852050207265889,1653.0,7.4109518755836366,CUST22639,44,Male,Employed,Liverpool,10129,24,SUV,5,Fair,0,0,,
CLM30060,POL14434,2021-04-29,2021-04-29,Vandalism,Low,False,False,3136,2767.0,Moderate,2021-06-12,settled,0,44.0,3136.0,8.051022208190679,2767.0,7.92588031673756,CUST24434,18,Female,Student,Leeds,18208,0,SUV,6,Good,0,0,,
CLM30061,POL12312,2019-11-06,2019-11-07,Theft,Medium,False,True,13429,10357.0,Moderate,2020-03-03,settled,1,117.0,13429.0,9.505246289517283,10357.0,9.245514446983837,CUST22312,43,Female,Employed,Bristol,12592,23,SUV,7,Fair,0,0,,
CLM30062,POL12444,2022-12-23,2022-12-24,Theft,High,False,False,135828,142362.0,Severe,2023-11-05,settled,1,316.0,135828.0,11.81915202064558,142362.0,11.866135412737297,CUST22444,24,Female,Unemployed,Cardiff,13678,6,SUV,4,Excellent,0,0,,
CLM30063,POL12429,2021-10-31,2021-10-31,Vandalism,Low,False,False,1620,849.0,Minor,2022-01-22,settled,0,83.0,1620.0,7.390798521735676,849.0,6.745236349484363,CUST22429,57,Male,Employed,Liverpool,7795,36,Motorcycle,14,Good,1,1,1.0,1.0
CLM30064,POL11062,2023-10-20,2023-10-20,Weather,Low,False,False,2397,2077.0,Minor,2023-12-28,settled,0,69.0,2397.0,7.7823903355874595,2077.0,7.639161171659173,CUST21062,22,Female,Student,Newcastle,9632,2,Hatchback,3,Excellent,0,0,,
CLM30065,POL14272,2022-10-22,2022-10-24,Collision,Low,False,False,8727,7680.0,Moderate,2023-01-03,settled,2,71.0,8727.0,9.074291527512907,7680.0,8.946505025998682,CUST24272,40,Male,Employed,Glasgow,19144,19,SUV,15,Fair,0,0,,
CLM30066,POL12417,2020-07-16,2020-07-18,Collision,Medium,False,False,1261,928.0,Minor,2020-12-11,settled,2,146.0,1261.0,7.140453043101158,928.0,6.834108738813838,CUST22417,79,Female,Retired,Liverpool,9106,60,Hatchback,1,Poor,0,0,,
CLM30067,POL10018,2022-11-13,2022-11-14,Collision,Low,False,False,10838,10726.0,Major,2022-12-27,settled,1,43.0,10838.0,9.29090601981575,10726.0,9.280519206597429,CUST20018,56,Female,Unemployed,Liverpool,12240,34,Hatchback,0,Excellent,1,1,1.0,1.0
CLM30068,POL14427,2022-09-13,2022-09-19,Collision,Low,False,False,9967,9338.0,Major,2022-11-26,settled,6,68.0,9967.0,9.207135241027235,9338.0,9.141954459109717,CUST24427,34,Male,Employed,Glasgow,10374,13,SUV,17,Good,0,0,,
CLM30069,POL11529,2021-01-24,2021-01-24,Collision,Low,False,False,5099,4449.0,Moderate,2021-04-05,settled,0,71.0,5099.0,8.536995818712418,4449.0,8.400659375160286,CUST21529,53,Male,Employed,Manchester,8035,33,Sedan,0,Good,0,0,,
CLM30070,POL12575,2021-09-16,2021-09-22,Collision,Low,False,False,1255,771.0,Minor,2021-12-16,settled,6,85.0,1255.0,7.135687347028144,771.0,6.648984550024776,CUST22575,67,Female,Retired,Bristol,18248,47,Van,20,Fair,0,0,,
CLM30071,POL14209,2019-07-08,2019-07-10,Collision,Medium,False,False,1513,838.0,Minor,2019-11-08,settled,2,121.0,1513.0,7.322510433997394,838.0,6.732210706467206,CUST24209,75,Male,Retired,Liverpool,9623,53,Coupe,12,Poor,1,1,1.0,1.0
CLM30072,POL12207,2025-07-19,2025-07-20,Collision,Low,False,True,6707,4148.0,Moderate,2025-09-16,settled,1,58.0,6707.0,8.8110561229431,4148.0,8.330622620332868,CUST22207,30,Male,Employed,Manchester,19240,11,SUV,12,Good,0,0,,
CLM30073,POL14108,2020-08-19,2020-08-19,Collision,Low,False,False,1840,1001.0,Minor,2020-11-10,settled,0,83.0,1840.0,7.518064181233078,1001.0,6.90975328164481,CUST24108,70,Female,Retired,Edinburgh,17241,50,SUV,2,Excellent,0,0,,
CLM30074,POL10254,2024-09-14,2024-09-14,Fire,Medium,False,False,11667,8850.0,Minor,2024-12-26,settled,0,103.0,11667.0,9.364605330987612,8850.0,9.088285725968877,CUST20254,21,Female,Employed,Bristol,13215,2,Hatchback,12,Fair,0,0,,
CLM30075,POL14830,2021-06-17,2021-06-19,Collision,Low,False,False,3717,2859.0,Moderate,2021-08-15,settled,2,57.0,3717.0,8.220941168281389,2859.0,7.958576903813898,CUST24830,53,Female,Employed,Glasgow,15468,33,Sedan,12,Poor,1,1,1.0,1.0
CLM30076,POL12263,2020-07-19,2020-07-19,Collision,Low,True,False,1542,915.0,Minor,2020-08-27,settled,0,39.0,1542.0,7.341483852363161,915.0,6.82001636467413,CUST22263,41,Female,Employed,Leeds,12076,19,Van,11,Excellent,0,0,,
CLM30077,POL14880,2023-11-25,2023-11-26,Collision,Low,False,False,2804,1649.0,Minor,2024-02-19,settled,1,85.0,2804.0,7.9391588179567965,1649.0,7.408530566894626,CUST24880,56,Female,Unemployed,Manchester,9307,37,SUV,1,Fair,0,0,,
CLM30078,POL10368,2022-12-21,2022-12-21,Collision,Low,False,False,4077,3415.0,Moderate,2023-02-25,settled,0,66.0,4077.0,8.3133619511344,3415.0,8.13622555490846,CUST20368,18,Male,Employed,Glasgow,17936,0,Sedan,9,Fair,0,0,,
CLM30079,POL10744,2021-09-28,2021-09-28,Vandalism,Medium,False,False,1759,1214.0,Minor,2022-01-08,settled,0,102.0,1759.0,7.473069088032197,1214.0,7.102499355774649,CUST20744,58,Female,Employed,Leeds,13257,40,Van,4,Poor,0,0,,
CLM30080,POL11012,2024-12-17,2024-12-19,Theft,Low,False,False,5502,3764.0,Minor,2025-03-15,settled,2,86.0,5502.0,8.613048677059759,3764.0,8.233503140233994,CUST21012,30,Male,Student,Cardiff,12084,10,Sedan,14,Good,0,0,,
CLM30081,POL12866,2021-03-06,2021-03-09,Collision,Low,False,False,11592,14178.0,Major,2021-05-07,settled,3,59.0,11592.0,9.358156746670401,14178.0,9.559517275737559,CUST22866,57,Male,Employed,London,13271,39,SUV,13,Good,0,0,,
CLM30082,POL13055,2022-05-09,2022-05-09,Collision,Low,False,False,4951,3309.0,Moderate,2022-06-20,settled,0,42.0,4951.0,8.507546814364431,3309.0,8.104703468371108,CUST23055,53,Male,Self-Employed,London,8283,31,Sedan,10,Good,0,0,,
CLM30083,POL10991,2019-05-06,2019-05-06,Collision,Low,False,False,1818,1382.0,Minor,2019-06-18,settled,0,43.0,1818.0,7.506042178518122,1382.0,7.232010331664759,CUST20991,36,Female,Self-Employed,London,16694,17,Coupe,6,Excellent,2,1,1.0,1.0
CLM30084,POL12847,2021-04-14,2021-04-14,Collision,Medium,False,False,1983,1295.0,Minor,2021-07-07,settled,0,84.0,1983.0,7.592870287844818,1295.0,7.16703787691222,CUST22847,53,Male,Employed,Edinburgh,2232,32,SUV,6,Good,0,0,,
CLM30085,POL14965,2019-01-28,2019-01-31,Collision,Low,False,False,1911,1195.0,Minor,2019-03-26,settled,3,54.0,1911.0,7.555905093611346,1195.0,7.086737934510577,CUST24965,43,Female,Employed,Newcastle,13273,22,SUV,1,Good,0,0,,
CLM30087,POL12509,2023-03-20,2023-03-23,Weather,Low,False,False,5534,4161.0,Moderate,2023-05-12,settled,3,50.0,5534.0,8.618846845142738,4161.0,8.33375100695358,CUST22509,52,Male,Self-Employed,Birmingham,10460,30,Hatchback,2,Excellent,0,0,,
CLM30088,POL12296,2021-09-19,2021-09-26,Collision,Low,False,False,2720,1424.0,Minor,2021-11-01,settled,7,36.0,2720.0,7.908754738783246,1424.0,7.261927092702751,CUST22296,35,Female,Employed,Manchester,12517,16,Hatchback,8,Fair,0,0,,
CLM30089,POL14197,2019-06-17,2019-06-19,Theft,Medium,False,False,8743,7386.0,Moderate,2019-10-19,settled,2,122.0,8743.0,9.076123029856374,7386.0,8.907476977528738,CUST24197,61,Male,Self-Employed,Birmingham,10314,39,Sedan,14,Excellent,1,1,2.0,2.0
CLM30090,POL14071,2021-01-30,2021-01-31,Collision,Medium,False,False,3344,2742.0,Moderate,2021-07-04,settled,1,154.0,3344.0,8.11522197256233,2742.0,7.916807490937603,CUST24071,39,Male,Employed,Bristol,7708,20,Motorcycle,19,Good,2,1,1.0,1.0
CLM30091,POL14545,2025-01-28,2025-01-29,Theft,Low,False,False,13726,16564.0,Moderate,2025-03-17,settled,1,47.0,13726.0,9.52711997525166,16564.0,9.715047314733996,CUST24545,70,Female,Retired,Bristol,22267,50,Sedan,16,Excellent,0,0,,
CLM30092,POL11593,2022-03-30,2022-04-01,Collision,Low,False,True,1970,1003.0,Minor,2022-06-12,settled,2,72.0,1970.0,7.58629630715272,1003.0,6.911747300251674,CUST21593,43,Male,Employed,Bristol,12268,25,Hatchback,0,Good,0,0,,
CLM30095,POL12065,2023-02-25,2023-02-25,Collision,Low,False,False,2094,1252.0,Minor,2023-04-27,settled,0,61.0,2094.0,7.647308832356238,1252.0,7.133295954896068,CUST22065,30,Female,Employed,Cardiff,13807,11,Hatchback,11,Good,1,1,1.0,1.0
CLM30097,POL11717,2020-04-26,2020-04-27,Collision,Medium,False,False,3431,2809.0,Minor,2020-09-27,settled,1,153.0,3431.0,8.140898460607852,2809.0,7.940939762327791,CUST21717,39,Male,Employed,Edinburgh,6477,17,Hatchback,16,Poor,0,0,,
CLM30098,POL14018,2021-09-07,2021-09-13,Collision,Low,False,False,2364,3455.0,Minor,2021-11-10,settled,6,58.0,2364.0,7.768533300926033,3455.0,8.147867129923947,CUST24018,40,Male,Employed,Glasgow,12064,22,Coupe,4,Excellent,0,0,,
CLM30099,POL13508,2020-04-12,2020-04-13,Collision,Medium,False,False,9900,10522.0,Major,2020-10-15,settled,1,185.0,9900.0,9.200391041122515,10522.0,9.261318616740812,CUST23508,19,Female,Employed,Edinburgh,14448,0,Sedan,5,Fair,1,1,2.0,2.0
CLM30100,POL12775,2021-06-25,2021-06-25,Collision,High,False,False,13811,13620.0,Major,2022-01-09,settled,0,198.0,13811.0,9.533293058509884,13620.0,9.519367998447342,CUST22775,36,Male,Employed,Manchester,17257,16,SUV,20,Excellent,1,1,1.0,1.0
CLM30101,POL11800,2025-01-04,2025-01-04,Collision,High,False,False,127927,132135.0,Catastrophic,2025-05-12,settled,0,128.0,127927.0,11.759222884639279,132135.0,11.791586974200927,CUST21800,58,Male,Self-Employed,London,13583,40,Coupe,2,Excellent,2,1,1.5,2.0
CLM30102,POL11416,2024-10-04,2024-10-04,Weather,Low,False,False,3045,1841.0,Minor,2024-11-24,settled,0,51.0,3045.0,8.021584533455107,1841.0,7.518607216815252,CUST21416,34,Female,Employed,Cardiff,9726,15,Sedan,15,Poor,0,0,,
